time	vrad	svrad
----	----	-----
57045.70173	7.1893	0.0148
57049.75170	7.2181	0.0156
57051.70510	7.1728	0.0147
57053.73321	7.1927	0.0149
57054.73211	7.1820	0.0096
57065.66244	7.2207	0.0105
57392.75475	7.1791	0.0167
57394.74622	7.1772	0.0163
57395.67480	7.1938	0.0140
57398.72585	7.2113	0.0130
