time	vrad	svrad
----	----	-----
57046.64374      7.24914      0.01380
57053.55195      7.20283      0.02280
57054.72060      7.25183      0.01570
57055.70836      7.22914      0.03310
57056.62866      7.21942      0.02490
57075.65385      7.23538      0.01960
57076.46383      7.19965      0.01880
57079.53034      7.23608      0.01370
57109.59053      7.18130      0.02930
57137.38239      7.20901      0.02840
